id;tarih;icerik;sozlesmenin_paketleri_id;tel_no_id
1;2020-12-09T05:18:49;Developer productivity Right-sized;1;1
2;2020-12-08T11:15:44;Decentralized;2;2
3;2020-12-09T05:14:48;Granite;3;3
4;2020-12-08T15:41:33;Exclusive bandwidth Investment Account;4;4
5;2020-12-09T00:05:26;Handmade Savings Account next-generation;5;5
6;2020-12-08T13:20:10;Rustic Frozen Sausages;6;6
7;2020-12-09T02:08:07;withdrawal partnerships;7;7
8;2020-12-08T21:00:14;hack payment quantify;8;8
9;2020-12-09T06:13:26;South Carolina parsing;9;9
10;2020-12-08T12:53:42;Kansas ivory;10;10
