id;tip;tarih;bitis_tarihi;musteri_id;tel_no_id
1;AnaPaket;2020-12-08T22:32:37;2020-12-09T10:29:57;1;1
2;EkPaket;2020-12-08T17:19:40;2020-12-08T14:49:00;2;2
3;AnaPaket;2020-12-08T18:58:57;2020-12-08T14:24:21;3;3
4;AnaPaket;2020-12-08T13:13:08;2020-12-08T13:06:04;4;4
5;EkPaket;2020-12-08T15:56:00;2020-12-09T02:47:50;5;5
6;EkPaket;2020-12-09T00:43:15;2020-12-08T17:13:05;6;6
7;EkPaket;2020-12-08T11:26:23;2020-12-09T05:48:58;7;7
8;EkPaket;2020-12-09T09:17:22;2020-12-08T15:36:36;8;8
9;EkPaket;2020-12-08T14:51:13;2020-12-08T13:53:03;9;9
10;EkPaket;2020-12-09T10:30:05;2020-12-08T11:23:18;10;10
