id;fiyat;baslangic_tarihi;bitis_tarihi;kalan_dakika;kalan_sms;kalan_internet;sozlesme_id;paketler_id
1;10098;2020-12-09T00:34:52;2020-12-09T08:55:42;89332;65307;41538;1;1
2;13364;2020-12-08T22:49:50;2020-12-09T01:48:57;55413;12077;10785;2;2
3;96227;2020-12-08T16:41:27;2020-12-08T21:15:50;36071;79294;43015;3;3
4;69758;2020-12-09T10:40:30;2020-12-08T17:48:29;83453;58589;94061;4;4
5;63016;2020-12-09T10:18:29;2020-12-09T06:45:01;3319;57420;89630;5;5
6;35086;2020-12-09T02:16:36;2020-12-09T00:47:14;78809;10676;28123;6;6
7;19412;2020-12-08T15:41:38;2020-12-09T00:29:37;6603;93655;63866;7;7
8;94519;2020-12-08T20:34:14;2020-12-09T08:49:24;51167;72280;81126;8;8
9;26895;2020-12-09T05:17:12;2020-12-09T02:05:27;77705;52696;44316;9;9
10;25315;2020-12-09T07:07:26;2020-12-08T18:07:03;16812;8121;83651;10;10
